Accession_STEPdb_2.0,Protein_ID_STEPdb_2.0,1ary_Gene_Name,STEPdb_Universal_Name,Uniprot_Protein_Name,STEPdb_Sub-cellular_Location_Full Name,STEPdb_Sub-cellular_Location_Letter Code,sub-cellular_topology_group,SRP_interactome_Schibich2016,TF_interactome_Oh2011,SecA_interactome_Huber2016,DnaK_client_Calloni2012,DnaK_client_Arifuzzaman2016,DnaK_client_Niwa2009,TF_client_Martinez2009,TF_client_Butland2005,TF_client_Arifuzzaman2006,TF_client_Niwa2009,GroEL_client_Kerner2005,GroEL_client_Arifuzzaman2006,GroEL_client_Chapman2006,GroEL_client_Niwa2009,SecB_client_Stepdb1.0,SecB_client_additional_data
P76127,BDM_ECOLI,bdm,"cytoplasmic protein, Bdm",Protein bdm (Biofilm-dependent modulation protein),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76128,DDPA_ECOLI,ddpA,"periplasmic protein (SEC through IM), Probable D,D-dipeptide-binding periplasmic DdpA ","Probable D,D-dipeptide-binding periplasmic protein DdpA",Periplasmic,G,Secreted,,YES,,,,,,,,,,,,,,
P76129,DOSP_ECOLI,dosP,"cytoplasmic protein, Oxygen sensor DosP",Oxygen sensor protein DosP (EC 3.1.4.52) (Direct oxygen-sensing phosphodiesterase) (Direct oxygen sensor protein) (Ec DOS) (Heme-regulated cyclic di-GMP phosphodiesterase),Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,,,YES,,
P76134,YDEM_ECOLI,ydeM,"cytoplasmic protein, Anaerobic sulfatase-maturating enzyme homolog YdeM",Anaerobic sulfatase-maturating enzyme homolog YdeM (AnSME homolog),Cytoplasmic,A,Cytoplasmic,,YES,,,,YES,,,,,,YES,,,,
P76135,YDEO_ECOLI,ydeO,"nucleoid protein, HTH-type transcriptional regulator intracellular pH homeostatis PhhR",HTH-type transcriptional regulator YdeO,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P76136,SAFA_ECOLI,safA,"integral IM protein (SEC in IM), Two-component-system connector SafA ",Two-component-system connector protein SafA (Regulatory protein b1500) (Sensor associating factor A),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76137,YDET_ECOLI,ydeT,"Fimbrial cytoplasmic protein, usher domain-containing YdeT ",Fimbrial usher domain-containing protein YdeT,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P76138,YNEL_ECOLI,yneL,"nucleoid protein, Putative HTH-type transcriptional regulator YneL ",Putative HTH-type transcriptional regulator YneL,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P76141,LSRR_ECOLI,lsrR,"nucleoid protein, transcriptional regulator LsrR",Transcriptional regulator LsrR,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,YES,,,,,,YES,,YES,,
P76142,LSRB_ECOLI,lsrB,"periplasmic protein (SEC through IM), Autoinducer 2-binding LsrB",Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB),Periplasmic,G,Secreted,,YES,YES,,,,,,,,,,,,,
P76143,LSRF_ECOLI,lsrF,"cytoplasmic protein, 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase LsrF","3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)",Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,YES,YES,,,,
P76145,TAM_ECOLI,tam,"cytoplasmic protein, Trans-aconitate 2-methyltransferase Tam",Trans-aconitate 2-methyltransferase (EC 2.1.1.144),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76146,YNEE_ECOLI,yneE,"integral IM protein (SEC in IM), UPF0187 YneE",UPF0187 protein YneE,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76147,DGCF_ECOLI,dgcF,"integral IM protein (SEC in IM), Probable diguanylate cyclase DgcF",Probable diguanylate cyclase DgcF (DGC) (EC 2.7.7.65),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76148,YNEG_ECOLI,yneG,"cytoplasmic protein, YneG",Uncharacterized protein YneG,Cytoplasmic,A,Cytoplasmic,YES,YES,,,,,,,,,,,,,,
P76149,SAD_ECOLI,sad,"cytoplasmic protein, Succinate semialdehyde dehydrogenase Sad",Succinate semialdehyde dehydrogenase [NAD(P)+] Sad (SSADH) (SSDH) (EC 1.2.1.16),Cytoplasmic,A,Cytoplasmic,,YES,YES,,YES,,,YES,,,,,,,,
P76150,YNEK_ECOLI,yneK,"cytoplasmic protein, YneK",Uncharacterized protein YneK,Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,,,,,
P76154,YDFK_ECOLI,ydfK,"cytoplasmic protein, YdfK",Cold shock protein YdfK,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76155,TFAQ_ECOLI,tfaQ,"cytoplasmic protein, Prophage tail fiber assembly homolog TfaQ ",Prophage tail fiber assembly protein homolog TfaQ (Tail fiber assembly protein homolog from lambdoid prophage Qin),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76156,YDFO_ECOLI,ydfO,"cytoplasmic protein, YdfO",Uncharacterized protein YdfO,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P76157,YNFN_ECOLI,ynfN,"cytoplasmic protein, YnfN",Uncharacterized protein YnfN,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P76158,RZPQ_ECOLI,rzpQ,"periplasmic protein (SEC through IM), RzpQ",Uncharacterized protein RzpQ,Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P76159,LYSQ_ECOLI,rrrQ,"cytoplasmic protein, Probable prophage lysozyme RrrQ",Probable prophage lysozyme (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase) (Probable lysozyme from lambdoid prophage Qin),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P76160,YDFR_ECOLI,ydfR,"cytoplasmic protein, YdfR",Uncharacterized protein YdfR,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P76161,REQ2_ECOLI,quuQ,"cytoplasmic protein, Prophage antitermination Q homolog QuuQ ",Prophage antitermination protein Q homolog QuuQ (Antitermination protein Q homolog from lambdoid prophage Qin),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76162,YDFU_ECOLI,ydfU,"cytoplasmic protein, YdfU",Uncharacterized protein YdfU,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76163,YDFV_ECOLI,ydfV,"cytoplasmic protein, YdfV",Uncharacterized protein YdfV,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P76164,YDFW_ECOLI,ydfW,"cytoplasmic protein, YdfW",Protein YdfW,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76165,YDFX_ECOLI,ydfX,"cytoplasmic protein, YdfX",Protein YdfX,Cytoplasmic,A,Cytoplasmic,,,,,YES,,,,,,,,,,,
P76168,INTQ_ECOLI,intQ,"cytoplasmic protein, Putative defective IntQ ",Putative defective protein IntQ (Putative lambdoid prophage Qin defective integrase),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P76169,YNFA_ECOLI,ynfA,"integral IM protein (SEC in IM), UPF0060 YnfA",UPF0060 membrane protein YnfA,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76170,YNFB_ECOLI,ynfB,"periplasmic peripheral OM protein (SEC through IM), UPF0482 YnfB",UPF0482 protein YnfB,Peripheral outer membrane protein facing the periplasm,F3,Secreted,,,,,,,,,,,,,,,,
P76172,YNFD_ECOLI,ynfD,"periplasmic protein (SEC through IM), YnfD",Uncharacterized protein YnfD,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P76173,YNFH_ECOLI,ynfH,"integral IM protein (SEC in IM), Anaerobic dimethyl sulfoxide reductase chain YnfH",Anaerobic dimethyl sulfoxide reductase chain YnfH (DMSO reductase anchor subunit YnfH),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76175,CLCB_ECOLI,clcB,"nucleoid & integral IM protein (SEC in IM), Voltage-gated ClC-type chloride channel ClcB ",Voltage-gated ClC-type chloride channel ClcB,"Nucleoid, Integral Inner Membrane","B,N",Integral Inner Membrane,,,,,,,,,,,,,,,,
P76176,YDGD_ECOLI,ydgD,periplasmic (SEC through IM) serine protease YdgD ,Uncharacterized serine protease YdgD (EC 3.4.21.-),Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P76177,YDGH_ECOLI,ydgH,"periplasmic protein (SEC through IM), YdgH",Protein YdgH,Periplasmic,G,Secreted,,,,YES,,,,,,,,,,,,
P76180,YDGK_ECOLI,ydgK,"integral IM protein (SEC in IM), YdgK",Inner membrane protein YdgK,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P76182,RSXD_ECOLI,rsxD,"integral IM protein (SEC in IM), Ion-translocating oxidoreductase complex subunit D RsxD",Ion-translocating oxidoreductase complex subunit D (EC 7.-.-.-) (Rsx electron transport complex subunit D),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P76185,YDHJ_ECOLI,ydhJ,"integral IM protein (SEC in IM), YdhJ",Uncharacterized protein YdhJ,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76186,YDHK_ECOLI,ydhK,"integral IM protein (SEC in IM), transporter YdhK",Uncharacterized transporter YdhK,Integral Inner Membrane ,B,Integral Inner Membrane,,YES,,,,,,,,,,,,,,
P76187,YDHF_ECOLI,ydhF,"cytoplasmic protein, Oxidoreductase YdhF",Oxidoreductase YdhF (EC 1.-.-.-),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,YES,,,,,
P76190,MEPH_ECOLI,mepH,"periplasmic protein (SEC through IM), Murein DD-endopeptidase MepH ",Murein DD-endopeptidase MepH (EC 3.4.-.-) (Murein hydrolase MepH),Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P76192,YDHV_ECOLI,ydhV,"cytoplasmic protein, Oxidoreductase YdhV",Uncharacterized oxidoreductase YdhV (EC 1.-.-.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,,,,,
P76193,YNHG_ECOLI,ynhG,"periplasmic peripheral OM protein (SEC through IM), Probable L,D-transpeptidase YnhG","Probable L,D-transpeptidase YnhG (EC 2.-.-.-)",Peripheral outer membrane protein facing the periplasm,F3,Secreted,,YES,,,,,,,,,,,,,,
P76194,SUFE_ECOLI,sufE,"cytoplasmic peripheral IM protein, Cysteine desulfuration SufE",Cysteine desulfuration protein SufE,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P76196,YDIL_ECOLI,ydiL,"cytoplasmic protein, YdiL",Uncharacterized protein YdiL,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P76197,YDIM_ECOLI,ydiM,"integral IM protein (SEC in IM), transport YdiM",Inner membrane transport protein YdiM,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76198,YDIN_ECOLI,ydiN,"integral IM protein (SEC in IM), transport YdiN",Inner membrane transport protein YdiN,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76201,YDIQ_ECOLI,ydiQ,"cytoplasmic protein, Putative electron transfer flavosubunit YdiQ ",Putative electron transfer flavoprotein subunit YdiQ,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P76204,YDIV_ECOLI,ydiV,"cytoplasmic protein, Putative anti-FlhC(2)FlhD(4) factor YdiV ",Putative anti-FlhC(2)FlhD(4) factor YdiV (c-di-GMP regulator CdgR),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,YES,,
P76205,ARPB_ECOLI,arpB,"cytoplasmic protein, Putative ankyrin repeat B ArpB",Putative ankyrin repeat protein B,Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,,,YES,,
P76206,YDIY_ECOLI,ydiY,"periplasmic protein (SEC through IM), YdiY",Uncharacterized protein YdiY,Periplasmic,G,Secreted,NO,,YES,,,,,,,,,,,,,
P76208,YNIB_ECOLI,yniB,"integral IM protein (SEC in IM), YniB",Uncharacterized protein YniB,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,YES,,,,,,,,
P76210,YDJO_ECOLI,ydjO,"cytoplasmic protein, YdjO",Uncharacterized protein YdjO,Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,,,,,
P76213,CHO_ECOLI,cho,"nucleoid protein, Excinuclease cho Cho",Excinuclease cho (EC 3.1.25.-) (Endonuclease cho) (UvrC homolog protein),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,,,YES,YES,,,,,,YES,,,,
P76214,VES_ECOLI,ves,"cytoplasmic protein, Ves",Protein Ves (Various environmental stresses-induced protein),Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,,,,,
P76215,ASTE_ECOLI,astE,"cytoplasmic protein, Succinylglutamate desuccinylase AstE",Succinylglutamate desuccinylase (EC 3.5.1.96),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P76216,ASTB_ECOLI,astB,"cytoplasmic protein, N-succinylarginine dihydrolase AstB",N-succinylarginine dihydrolase (EC 3.5.3.23),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P76217,ASTD_ECOLI,astD,"cytoplasmic protein, N-succinylglutamate 5-semialdehyde dehydrogenase AstD",N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD),Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,YES,,,,
P76219,YDJX_ECOLI,ydjX,"integral IM protein (SEC in IM), of TVP38/TMEM64 family and DedA family, YdjX",TVP38/TMEM64 family membrane protein YdjX,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76220,YDJY_ECOLI,ydjY,"IM lipoprotein (SEC through IM, inserted in OM by LOL), YdjY",Uncharacterized protein YdjY,Inner Membrane Lipoprotein,E,Secreted,,,,,,,,,,,,,,,,
P76221,YDJZ_ECOLI,ydjZ,"integral IM protein (SEC in IM), of TVP38/TMEM64 family and DedA family, YdjZ ",TVP38/TMEM64 family inner membrane protein YdjZ,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76222,YNJA_ECOLI,ynjA,"integral IM protein (SEC in IM), YnjA",Uncharacterized protein YnjA,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,YES,,,,
P76223,YNJB_ECOLI,ynjB,"periplasmic protein (SEC through IM), YnjB",Protein YnjB,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P76224,YNJC_ECOLI,ynjC,"integral IM protein (SEC in IM), ABC transporter permease YnjC",Inner membrane ABC transporter permease protein YnjC,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76226,YNJF_ECOLI,ynjF,"integral IM protein (SEC in IM), YnjF",Inner membrane protein YnjF,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76227,YNJH_ECOLI,ynjH,"periplasmic protein (SEC through IM), YnjH",Uncharacterized protein YnjH,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P76228,YNJI_ECOLI,ynjI,"integral IM protein (SEC in IM), YnjI",Inner membrane protein YnjI,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76230,YDJK_ECOLI,ydjK,"integral IM protein (SEC in IM), Putative metabolite transport YdjK ",Putative metabolite transport protein YdjK,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76231,YEAC_ECOLI,yeaC,"cytoplasmic protein, YeaC",Uncharacterized protein YeaC,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76234,YEAE_ECOLI,yeaE,"cytoplasmic protein, YeaE",Uncharacterized protein YeaE,Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,YES,,YES,,
P76235,YEAH_ECOLI,yeaH,"cytoplasmic protein, UPF0229 YeaH",UPF0229 protein YeaH,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76236,CDGI_ECOLI,cdgI,"integral IM protein (SEC in IM), Probable diguanylate cyclase CdgI",Probable diguanylate cyclase CdgI (DGC) (EC 2.7.7.65),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76237,DGCJ_ECOLI,dgcJ,"integral IM protein (SEC in IM), Probable diguanylate cyclase DgcJ",Probable diguanylate cyclase DgcJ (DGC) (EC 2.7.7.65),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76239,YOAI_ECOLI,yoaI,"integral IM protein (SEC in IM), YoaI",Uncharacterized protein YoaI,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76241,NIMR_ECOLI,nimR,"nucleoid protein, HTH-type transcriptional regulator of resistance to 2-nitroimidazole NimR",HTH-type transcriptional regulator NimR (Regulator of nimT),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,YES,,,,,,,,,YES,,,,
P76242,NIMT_ECOLI,nimT,"integral IM protein (SEC in IM), 2-nitroimidazole transporter NimT",2-nitroimidazole transporter,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76243,YEAO_ECOLI,yeaO,"cytoplasmic protein, YeaO",Uncharacterized protein YeaO,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76245,DGCP_ECOLI,dgcP,"cytoplasmic protein, Diguanylate cyclase DgcP",Diguanylate cyclase DgcP (DGC) (EC 2.7.7.65),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P76249,LEUE_ECOLI,leuE,"integral IM protein (SEC in IM), Leucine efflux protein LeuE",Leucine efflux protein,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76250,DMLR_ECOLI,dmlR,"nucleoid protein, HTH-type transcriptional regulator DmlR",HTH-type transcriptional regulator DmlR (D-malate degradation protein R),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,YES,YES,,,,
P76251,DMLA_ECOLI,dmlA,"cytoplasmic protein, D-malate dehydrogenase DmlA",D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83) (D-malate degradation protein A) (D-malate oxidase),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P76254,CNTB_ECOLI,yeaX,"cytoplasmic protein, Carnitine monooxygenase reductase subunit YeaX",Carnitine monooxygenase reductase subunit (EC 1.14.13.239) (Carnitine monooxygenase beta subunit),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76256,TSAB_ECOLI,tsaB,"cytoplasmic protein, tRNA threonylcarbamoyladenosine biosynthesis TsaB",tRNA threonylcarbamoyladenosine biosynthesis protein TsaB (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaB),Cytoplasmic,A,Cytoplasmic,NO,,,,,,,,,,,,,,,
P76257,YOAA_ECOLI,yoaA,"cytoplasmic protein, Probable ATP-dependent DNA helicase YoaA ",Probable ATP-dependent DNA helicase YoaA (EC 3.6.4.12),Cytoplasmic,A,Cytoplasmic,,YES,,,,YES,,,,,,YES,,,,
P76261,PDED_ECOLI,pdeD,"integral IM protein (SEC in IM), Probable cyclic di-GMP phosphodiesterase PdeD",Probable cyclic di-GMP phosphodiesterase PdeD (EC 3.1.4.52),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76264,MNTP_ECOLI,mntP,"integral IM protein (SEC in IM), Probable manganese efflux pump MntP ",Probable manganese efflux pump MntP,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76268,KDGR_ECOLI,kdgR,"nucleoid protein, transcriptional regulator KdgR",Transcriptional regulator KdgR,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,,,,,,,,,,,
P76269,YEBQ_ECOLI,yebQ,"integral IM protein (SEC in IM), transporter YebQ",Uncharacterized transporter YebQ,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76270,MSRC_ECOLI,msrC,"cytoplasmic protein, Free methionine-R-sulfoxide reductase MsrC",Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14),Cytoplasmic,A,Cytoplasmic,,,,,YES,,,,,,,YES,,,,
P76272,YEBT_ECOLI,yebT,"integral IM protein (SEC in IM), Intertransport YebT ",Intermembrane transport protein YebT,Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,,,,,,,,,,,,,,
P76273,RSMF_ECOLI,rsmF,"cytoplasmic protein, Ribosomal RNA small subunit methyltransferase F RsmF",Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.178) (16S rRNA m5C1407 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmF),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76275,YEBW_ECOLI,yebW,"cytoplasmic protein, YebW",Uncharacterized protein YebW,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76278,YEBZ_ECOLI,yebZ,"integral IM protein (SEC in IM), YebZ",Inner membrane protein YebZ,Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,YES,,,,,,,,,,,,,
P76280,YOBB_ECOLI,yobB,"cytoplasmic protein, YobB",Uncharacterized protein YobB,Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,YES,,YES,,
P76290,CMOA_ECOLI,cmoA,"cytoplasmic protein, Carboxy-S-adenosyl-L-methionine synthase CmoA",Carboxy-S-adenosyl-L-methionine synthase (Cx-SAM synthase) (EC 2.1.3.-),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76291,CMOB_ECOLI,cmoB,"cytoplasmic protein, tRNA U34 carboxymethyltransferase CmoB",tRNA U34 carboxymethyltransferase (EC 2.5.1.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,YES,,
P76296,YECT_ECOLI,yecT,"periplasmic protein (SEC through IM), YecT",Uncharacterized protein YecT,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P76297,FLHE_ECOLI,flhE,"periplasmic protein (SEC through IM), FlhE",Flagellar protein FlhE,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P76298,FLHA_ECOLI,flhA,"integral IM protein (SEC in IM), biosynthesis FlhA",Flagellar biosynthesis protein FlhA,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76299,FLHB_ECOLI,flhB,"integral IM protein (SEC in IM), biosynthetic FlhB",Flagellar biosynthetic protein FlhB,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P76308,YECR_ECOLI,yecR,"OM lipoprotein (SEC through IM, inserted in OM by LOL), YecR",Uncharacterized protein YecR,Outer Membrane Lipoprotein,I,Secreted,,,,,,,,,,,,,,,,
P76316,DCYD_ECOLI,dcyD,"cytoplasmic protein, D-cysteine desulfhydrase DcyD",D-cysteine desulfhydrase (EC 4.4.1.15),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,,,YES,,
P76318,YEDK_ECOLI,yedK,"cytoplasmic protein, Putative SOS response-associated peptidase YedK YedK",Putative SOS response-associated peptidase YedK (EC 3.4.-.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,YES,,YES,,
P76319,YEDL_ECOLI,yedL,"cytoplasmic protein, N-acetyltransferase YedL",Uncharacterized N-acetyltransferase YedL (EC 2.3.1.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P76322,YEDM_ECOLI,yedM,"cytoplasmic protein, YedM",Uncharacterized protein YedM,Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,,,,,
P76323,INTG_ECOLI,intG,"cytoplasmic protein, Putative IntG",Putative protein IntG (Putative lambdoid prophage defective integrase),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P76329,MPGP_ECOLI,yedP,"cytoplasmic protein, Mannosyl-3-phosphoglycerate phosphatase YedP",Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P76330,DGCQ_ECOLI,dgcQ,"integral IM protein (SEC in IM), Probable diguanylate cyclase DgcQ",Probable diguanylate cyclase DgcQ (DGC) (EC 2.7.7.65) (Cellulose synthesis regulatory protein),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P76334,YEDR_ECOLI,yedR,"integral IM protein (SEC in IM), YedR",Inner membrane protein YedR,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76335,YEDS_ECOLI,yedS,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), Putative YedS",Putative outer membrane protein YedS,Outer Membrane b-barrel protein,H,Secreted OM (H),,,,,,,,,,YES,,,,,,
P76339,YEDV_ECOLI,yedV,"integral IM protein (SEC in IM), Sensor histidine kinase YedV",Sensor histidine kinase HprS (EC 2.7.13.3) (Hydrogen peroxide response sensor),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76340,YEDW_ECOLI,yedW,"cytoplasmic protein, transcriptional regulator HprSR-TCS response regulator of H2O2 sensitivity HprR",Transcriptional regulatory protein HprR (Hydrogen peroxide response regulator),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P76341,HIUH_ECOLI,hiuH,"periplasmic protein (SEC through IM), 5-hydroxyisourate hydrolase HiuH",5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-like protein) (TLP) (Transthyretin-related protein) (TRP),Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P76342,MSRP_ECOLI,msrP,"periplasmic peripheral IM protein (TAT-SEC through IM), Protein-methionine-sulfoxide reductase catalytic subunit MsrP ",Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-),Peripheral inner membrane protein facing the periplasm,F2,Secreted,,YES,,,YES,,,,,,,YES,,,,
P76343,MSRQ_ECOLI,msrQ,"integral IM protein (SEC in IM), Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ ",Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ (Flavocytochrome MsrQ),Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P76344,ZINT_ECOLI,zinT,"periplasmic protein (SEC through IM), Metal-binding ZinT ",Metal-binding protein ZinT (Cadmium-induced protein ZinT),Periplasmic,G,Secreted,,,,,,,,,,,YES,,,,,
P76345,C56H_ECOLI,yodB,"integral IM protein (SEC in IM), Cytochrome b561 homolog 1 YodB",Cytochrome b561 homolog 1,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P76346,MTFA_ECOLI,mtfA,"cytoplasmic peripheral IM protein, MtfA",Protein MtfA (Mlc titration factor A),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
